IPV4_SRC_ADDR,L4_SRC_PORT,IPV4_DST_ADDR,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,OUT_BYTES,IN_PKTS,OUT_PKTS,TCP_FLAGS,FLOW_DURATION_MILLISECONDS,Label,Attack
192.168.1.195,63318,52.139.250.253,443,6,91.0,181,165,2,1,24,327,0,Benign
192.168.1.79,57442,192.168.1.255,15600,17,0.0,63,0,1,0,0,0,0,Benign
192.168.1.79,57452,239.255.255.250,15600,17,0.0,63,0,1,0,0,0,0,Benign
192.168.1.193,138,192.168.1.255,138,17,10.16,472,0,2,0,0,0,0,Benign
192.168.1.79,51989,192.168.1.255,15600,17,0.0,63,0,1,0,0,0,0,Benign
192.168.1.6,53927,239.255.255.250,1900,17,153.12,459,0,3,0,0,614,0,Benign
192.168.1.79,60453,239.255.255.250,15600,17,0.0,63,0,1,0,0,0,0,Benign
192.168.1.195,49866,52.43.40.243,443,6,91.178,192,191,4,4,25,9723,0,Benign
192.168.1.79,36125,239.255.255.250,15600,17,0.0,63,0,1,0,0,0,0,Benign
192.168.1.1,0,224.0.0.1,0,2,82.0,32,0,1,0,0,0,0,Benign
192.168.1.79,0,239.255.255.250,0,2,82.0,32,0,1,0,0,0,0,Benign
192.168.1.31,60641,192.168.1.1,53,17,5.0,108,108,2,2,0,4,1,dos
192.168.1.31,60641,192.168.1.1,53,17,5.0,108,108,2,2,0,4,1,injection
192.168.1.31,60641,192.168.1.1,53,17,5.0,108,108,2,2,0,4,1,ddos
192.168.1.31,38524,192.168.1.1,53,17,5.0,100,100,2,2,0,5,1,injection
192.168.1.31,38524,192.168.1.1,53,17,5.0,100,100,2,2,0,5,1,ddos
192.168.1.31,42075,192.168.1.1,53,17,5.0,108,108,2,2,0,3,1,injection
192.168.1.31,42075,192.168.1.1,53,17,5.0,108,108,2,2,0,3,1,ddos
192.168.1.31,45736,192.168.1.1,53,17,5.0,100,100,2,2,0,5,1,scanning
192.168.1.31,45736,192.168.1.1,53,17,5.0,100,100,2,2,0,5,1,dos
192.168.1.31,45736,192.168.1.1,53,17,5.0,100,100,2,2,0,5,1,injection
192.168.1.31,45736,192.168.1.1,53,17,5.0,100,100,2,2,0,5,1,ddos
192.168.1.31,59450,192.168.1.1,53,17,5.0,108,108,2,2,0,2,1,dos